puzzle ID,algorithm,iteration,number of processes,time taken
3,MultiProcess count adjusted depth 3,2,7,117340
3,MultiProcess count adjusted depth 3,3,7,115525
3,MultiProcess count adjusted depth 3,4,7,117882
4,MultiProcess count adjusted depth 3,0,7,120525
4,MultiProcess count adjusted depth 3,1,7,130223
4,MultiProcess count adjusted depth 3,2,7,130084
4,MultiProcess count adjusted depth 3,3,7,124606
4,MultiProcess count adjusted depth 3,4,7,125618
5,MultiProcess count adjusted depth 3,0,7,140516
5,MultiProcess count adjusted depth 3,1,7,147724
5,MultiProcess count adjusted depth 3,2,7,146309
5,MultiProcess count adjusted depth 3,3,7,141188
5,MultiProcess count adjusted depth 3,4,7,144826
6,MultiProcess count adjusted depth 3,0,7,4282
6,MultiProcess count adjusted depth 3,1,7,3681
6,MultiProcess count adjusted depth 3,2,7,3732
6,MultiProcess count adjusted depth 3,3,7,3726
6,MultiProcess count adjusted depth 3,4,7,3568
7,MultiProcess count adjusted depth 3,0,7,5968
7,MultiProcess count adjusted depth 3,1,7,5915
7,MultiProcess count adjusted depth 3,2,7,5817
7,MultiProcess count adjusted depth 3,3,7,5954
7,MultiProcess count adjusted depth 3,4,7,5716
1,MultiProcess count adjusted depth 4,0,8,76202
1,MultiProcess count adjusted depth 4,1,8,74516
1,MultiProcess count adjusted depth 4,2,8,72038
1,MultiProcess count adjusted depth 4,3,8,75607
1,MultiProcess count adjusted depth 4,4,8,71708
2,MultiProcess count adjusted depth 4,0,6,21579
2,MultiProcess count adjusted depth 4,1,6,19912
2,MultiProcess count adjusted depth 4,2,6,20212
2,MultiProcess count adjusted depth 4,3,6,19664
2,MultiProcess count adjusted depth 4,4,6,19551
3,MultiProcess count adjusted depth 4,0,8,95418
3,MultiProcess count adjusted depth 4,1,8,93334
3,MultiProcess count adjusted depth 4,2,8,95669
3,MultiProcess count adjusted depth 4,3,8,95576
3,MultiProcess count adjusted depth 4,4,8,88469
4,MultiProcess count adjusted depth 4,0,8,89256
4,MultiProcess count adjusted depth 4,1,8,92176
4,MultiProcess count adjusted depth 4,2,8,91493
4,MultiProcess count adjusted depth 4,3,8,93891
4,MultiProcess count adjusted depth 4,4,8,90225
5,MultiProcess count adjusted depth 4,0,8,98116
5,MultiProcess count adjusted depth 4,1,8,102113
5,MultiProcess count adjusted depth 4,2,8,104540
5,MultiProcess count adjusted depth 4,3,8,97691
5,MultiProcess count adjusted depth 4,4,8,97267
6,MultiProcess count adjusted depth 4,0,8,2797
6,MultiProcess count adjusted depth 4,1,8,2636
6,MultiProcess count adjusted depth 4,2,8,2651
6,MultiProcess count adjusted depth 4,3,8,2605
6,MultiProcess count adjusted depth 4,4,8,2726
7,MultiProcess count adjusted depth 4,0,8,4969
7,MultiProcess count adjusted depth 4,1,8,4647
7,MultiProcess count adjusted depth 4,2,8,4722
7,MultiProcess count adjusted depth 4,3,8,4834
7,MultiProcess count adjusted depth 4,4,8,4768
1,MultiProcess count adjusted depth 5,0,9,65893
1,MultiProcess count adjusted depth 5,1,9,64395
1,MultiProcess count adjusted depth 5,2,9,61962
1,MultiProcess count adjusted depth 5,3,9,61238
1,MultiProcess count adjusted depth 5,4,9,61092
2,MultiProcess count adjusted depth 5,0,9,18329
2,MultiProcess count adjusted depth 5,1,9,18479
2,MultiProcess count adjusted depth 5,2,9,19138
2,MultiProcess count adjusted depth 5,3,9,18540
2,MultiProcess count adjusted depth 5,4,9,17373
3,MultiProcess count adjusted depth 5,0,9,67865
3,MultiProcess count adjusted depth 5,1,9,64908
3,MultiProcess count adjusted depth 5,2,9,63943
3,MultiProcess count adjusted depth 5,3,9,62659
3,MultiProcess count adjusted depth 5,4,9,64051
4,MultiProcess count adjusted depth 5,0,9,113668
4,MultiProcess count adjusted depth 5,1,9,111521
4,MultiProcess count adjusted depth 5,2,9,112382
4,MultiProcess count adjusted depth 5,3,9,111424
4,MultiProcess count adjusted depth 5,4,9,111021
5,MultiProcess count adjusted depth 5,0,9,117870
5,MultiProcess count adjusted depth 5,1,9,113321
5,MultiProcess count adjusted depth 5,2,9,112662
5,MultiProcess count adjusted depth 5,3,9,112634
5,MultiProcess count adjusted depth 5,4,9,114343
6,MultiProcess count adjusted depth 5,0,9,2127
6,MultiProcess count adjusted depth 5,1,9,2151
6,MultiProcess count adjusted depth 5,2,9,1918
6,MultiProcess count adjusted depth 5,3,9,1891
6,MultiProcess count adjusted depth 5,4,9,1876
7,MultiProcess count adjusted depth 5,0,9,4617
7,MultiProcess count adjusted depth 5,1,9,4422
7,MultiProcess count adjusted depth 5,2,9,4300
7,MultiProcess count adjusted depth 5,3,9,4212
7,MultiProcess count adjusted depth 5,4,9,4195
